"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"34335","ENSG00000270718",111054.390743097,15.7725714805964,0.421269235523016,37.4405965368309,8.54400607638757e-307,1.29424604045119e-302
"23598","ENSG00000229761",110269.043231578,16.2640963503211,0.479990281226736,33.8842201320287,1.13776009714493e-251,8.61739497577571e-248
"6690","ENSG00000133065",110614.393877192,16.2702582966815,0.48044392642216,33.8650514698879,2.17920000661473e-251,1.10035072334e-247
"27182","ENSG00000237495",111105.647425588,16.404777849207,0.502322914898068,32.6578329649482,6.20324946421644e-234,2.34917057209876e-230
"20094","ENSG00000217236",111386.414499308,16.6941216667348,0.540179141897131,30.9047876378646,1.03003030371857e-209,3.12057980814578e-206
"29365","ENSG00000249045",110469.127267337,17.2684564153696,0.636052932466228,27.1494014631973,2.57355108790374e-162,6.49735864659431e-159
"9541","ENSG00000152583",954.683932830601,4.36804756307941,0.237206815233311,18.414511230561,1.0049241674508e-75,2.17465589836353e-72
"14524","ENSG00000179094",743.196334663128,2.86356651193096,0.175558631311991,16.3111690409685,8.22042937710002e-60,1.55653830255389e-56
"4586","ENSG00000116584",2278.02079319055,-1.03499932573479,0.0649712788195395,-15.9301054949148,3.9169572700075e-57,6.59267430289707e-54
"16731","ENSG00000189221",2383.56652407465,3.34124345259774,0.212481714585314,15.7248517083864,1.02189803086645e-55,1.5479711371565e-52
"5010","ENSG00000120129",3440.46390267858,2.96491620913891,0.203771140818204,14.5502262844181,5.82101798951548e-48,8.01607095501641e-45
"9039","ENSG00000148175",13493.4273445627,1.4268642284248,0.100358330133069,14.2176959952688,7.11573533344996e-46,8.98242990259166e-43
"14444","ENSG00000178695",2685.63752235445,-2.48938537550517,0.178146153410805,-13.9738373680438,2.25160507116285e-44,2.62363950907499e-41
"3714","ENSG00000109906",439.501281607133,5.92726446245911,0.428430504973512,13.8348329394182,1.57101016976628e-43,1.69983300368712e-40
"6925","ENSG00000134686",2933.53798202998,1.43918943615985,0.105823764584306,13.5998699518321,4.01146092172939e-42,4.05104066949046e-39
"2506","ENSG00000101347",14133.9328731728,3.85012023948287,0.285074424349911,13.5056669789398,1.44796429166229e-41,1.37086019313128e-38
"2050","ENSG00000096060",2630.00050468968,3.94473708500615,0.293074544051534,13.4598420950286,2.69491501781201e-41,2.40132780528331e-38
"11893","ENSG00000166741",7541.78015480626,2.21928160065283,0.166753464591508,13.3087585681614,2.05874064325355e-40,1.73254462577804e-37
"5609","ENSG00000125148",3695.65220192012,2.19825695385922,0.16702032623323,13.16161334034,1.45936031055973e-39,1.16349420970309e-36
"10755","ENSG00000162614",5645.89183059031,1.97083567099577,0.150234346931989,13.1184094133146,2.58299410260525e-39,1.95635973331321e-36
"3375","ENSG00000106976",989.118044341498,-1.85048172333737,0.147785500772811,-12.5214023950976,5.70186978130454e-36,4.11294873558101e-33
"16257","ENSG00000187193",199.061020096057,3.2548288590369,0.260902862727687,12.4752516128352,1.01883860604347e-35,7.01516691106659e-33
"31463","ENSG00000256235",1123.44311834151,1.27982114690274,0.105431611119002,12.1388749855885,6.57234532757474e-34,4.32860378356966e-31
"14269","ENSG00000177666",2639.49576849516,1.13969713765298,0.0960287800392347,11.8682871654449,1.72972765122419e-32,1.09174643586434e-29
"11235","ENSG00000164125",7256.82744241943,1.02454807594073,0.0865410048275808,11.8388742767892,2.45729031691301e-32,1.48892134882393e-29
"17555","ENSG00000198624",2019.88501421686,2.81378238170612,0.240714042912642,11.6893154535536,1.44546957785872e-31,8.42152814053994e-29
"5398","ENSG00000123562",5008.44100846133,1.00424447807478,0.0890072982950744,11.2827206005685,1.59728449577756e-29,8.96135760816241e-27
"8545","ENSG00000144369",1283.85357571996,-1.30931698781794,0.117128768357324,-11.1784406698755,5.19955405144781e-29,2.81295874183327e-26
"16936","ENSG00000196517",241.935984183347,-2.34597903881101,0.210481874916064,-11.1457532376436,7.51060752121104e-29,3.92312699073465e-26
"7136","ENSG00000135821",19971.7994867832,3.0410795654013,0.276152984642128,11.0123001905711,3.33381770462549e-28,1.68335568632223e-25
"11376","ENSG00000164647",1885.54419600681,1.54688648531454,0.142667666340433,10.842586305599,2.1626909503352e-27,1.05678846824767e-24
"10048","ENSG00000157150",194.405901260605,2.90847406221943,0.268539751040488,10.8307021621575,2.46259636307332e-27,1.16573155336983e-24
"36291","ENSG00000276600",308.786364607048,-1.76112045055343,0.16292742607894,-10.8092326315899,3.11262855205217e-27,1.42879082746928e-24
"11079","ENSG00000163697",2417.20598901458,0.91722047282316,0.0859183300294706,10.6754923251947,1.32552988452783e-26,5.90562549730221e-24
"14927","ENSG00000181467",614.728911751372,-1.26219812274623,0.118650417001378,-10.6379577471824,1.98430883693187e-26,8.58808864624113e-24
"4563","ENSG00000116285",3268.47263609655,2.43993477029888,0.229537525916392,10.6297859600857,2.16609030130301e-26,9.11442663448276e-24
"15252","ENSG00000183044",534.254638767518,1.00598177756485,0.0949894903155814,10.5904534725126,3.2998935308572e-26,1.35099424879527e-23
"10780","ENSG00000162692",501.853278587306,-3.53363915292501,0.334521426385167,-10.5632670262992,4.41039296855449e-26,1.75812191283325e-23
"11140","ENSG00000163884",574.084511662647,4.53693623240595,0.431964454292472,10.5030314122423,8.36498433836289e-26,3.24904571173131e-23
"34992","ENSG00000273259",2003.85045812073,3.36515836029937,0.323593562147379,10.3993365565373,2.49665393801602e-25,9.45482846326668e-23
"3806","ENSG00000110756",990.612052871465,1.48997455333956,0.1470456630718,10.1327337523176,3.9543642674935e-24,1.4609929249754e-21
"4875","ENSG00000119138",1717.35970152316,2.1275672773824,0.211828187196503,10.0438346073781,9.77967862269981e-24,3.5272040899204e-21
"1395","ENSG00000077684",1762.13082920696,1.18928124080633,0.118678589560499,10.0210260773285,1.23217009149073e-23,4.34067733625618e-21
"2827","ENSG00000103502",3348.23670209738,0.839446516028136,0.0838508402902992,10.011187879834,1.36108329299395e-23,4.68583857324372e-21
"11842","ENSG00000166482",27414.6266487325,-0.949590763378471,0.0953230475548003,-9.96181708135759,2.23931894149685e-23,7.53804518350983e-21
"15954","ENSG00000185950",2275.88145605933,2.16622679121801,0.220086676810301,9.84260756994908,7.37735061818361e-23,2.42939363400533e-20
"11704","ENSG00000165995",513.075629318084,3.0063141330153,0.306065077410072,9.8224670336609,9.01108219072502e-23,2.90425261755537e-20
"2775","ENSG00000103196",3095.92985472916,2.6257237006786,0.26758164484602,9.81279452927189,9.91830472582557e-23,3.13005166639179e-20
"18557","ENSG00000211445",12536.2272189289,3.76989197864979,0.385887202735993,9.76941435715085,1.52330046668418e-22,4.70917458557796e-20
"10089","ENSG00000157510",502.217343707432,1.82216350052932,0.188060864160668,9.68922220293838,3.35070607245918e-22,1.01512991171223e-19
"17081","ENSG00000197043",14235.4983561872,0.954379716994566,0.0992698691420859,9.6139918914223,6.97896137214356e-22,2.07288836990648e-19
"20541","ENSG00000221869",1996.53573135895,1.51562956349967,0.157727689634238,9.60915338970809,7.31479323573964e-22,2.13085553721123e-19
"7793","ENSG00000139289",2896.88307609312,-1.0712328661865,0.112103204881244,-9.55577378292896,1.22663809329727e-21,3.5058705353334e-19
"6429","ENSG00000131389",738.446442402758,-1.96428153572626,0.20591507217842,-9.5392800291193,1.43827329457333e-21,4.0346229381846e-19
